ISO/IEC 27001 Controls,,Mapped NIST 800-53 Controls,
Control ID,Control Title,NIST Controls,
A.5, Information Security Policies,,
A.5.1, Management direction for information security,,
A.5.1.1,Policies for information security,All XX-1 controls,
A.5.1.2,Review of the policies for information security,All XX-1 controls,
A.6,Organization of information security,,
A.6.1,Internal organization,,
A.6.1.1,Information security roles and responsibilities,"All XX-1 controls, CM-9, CP-2,PS-7, SA-3, SA-9, PM- 2, PM-10",
A.6.1.2,Segregation of duties,AC-5,
A.6.1.3,Contact with authorities,IR-6,
A.6.1.4,Contact with special interest groups,"SI-5, PM-15",
A.6.1.5,Information security in project management,"SA-3, SA-9, SA-15",
A.6.2 ,Mobile devices and teleworking,,
A.6.2.1,Mobile device policy,"AC-17, AC-18, AC-19",
A.6.2.2,Teleworking,"AC-3, AC-17, PE-17",
A.7,Human Resources Security,,
A.7.1,Prior to Employment,,
A.7.1.1,Screening,"PS-3, SA-21",
A.7.1.2,Terms and conditions of employment,"PL-4, PS-6",
A.7.2 ,During employment,,
A.7.2.1,Management responsibilities,"PL-4, PS-6, PS-7, SA-9",
A.7.2.2,"Information security awareness, education, and training","AT-2, AT-3, CP-3, IR-2, PM-13",
A.7.2.3,Disciplinary process,PS-8,
A.7.3 ,Termination and change of employment,,
A.7.3.1,Termination or change of employment responsibilities,"PS-4, PS-5",
A.8,Asset Management,,
A.8.1 ,Responsibility for assets,,
A.8.1.1,Inventory of assets,CM-8,
A.8.1.2,Ownership of assets,CM-8,
A.8.1.3,Acceptable use of assets,PL-4,
A.8.1.4,Return of assets,"PS-4, PS-5",
A.8.2,Information Classification,,
A.8.2.1,Classification of information,RA-2,
A.8.2.2,Labelling of Information,MP-3,
A.8.2.3,Handling of Assets,"MP-2, MP-4, MP-5, MP-6, MP-7, PE-16, PE-18, PE- 20, SC-8, SC-28",
A.8.3,Media Handling,,
A.8.3.1,Management of removable media,"MP-2, MP-4, MP-5, MP-6, MP-7",
A.8.3.2,Disposal of media,MP-6,
A.8.3.3,Physical media transfer,MP-5,
A.9,Access Control,,
A.9.1,Business requirement of access control,,
A.9.1.1,Access control policy,AC-1,
A.9.1.2,Access to networks and network services,"AC-3, AC-6",
A.9.2,User access management,,
A.9.2.1,User registration and de-registration,"AC-2, IA-2, IA-4, IA-5, IA-8",
A.9.2.2,User access provisioning,AC-2,
A.9.2.3,Management of privileged access rights,"AC-2, AC-3, AC-6, CM-5",
A.9.2.4,Management of secret authentication information of users,IA-5,
A.9.2.5,Review of user access rights,AC-2,
A.9.2.6,Removal or adjustment of access rights,AC-2,
A.9.3,User responsibilities,,
A.9.3.1,Use of secret authentication information,IA-5,
A.9.4,System and application access control,,
A.9.4.1,Information access restriction,"AC-3, AC-24",
A.9.4.2,Secure logon procedures,"AC-7, AC-8, AC-9, IA-6",
A.9.4.3,Password management system,IA-5,
A.9.4.4,Use of privileged utility programs,"AC-3, AC-6",
A.9.4.5,Access control to program source code,"AC-3, AC-6, CM-5",
A.10,Cryptography,,
A.10.1,Cryptographic controls,,
A.10.1.1,Policy on the use of cryptographic controls,SC-13,
A.10.1.2,Key Management,"SC-12, SC-17",
A.11,Physical and environmental security,,
A.11.1,Secure areas,,
A.11.1.1,Physical security perimeter,PE-3*,
A.11.1.2,Physical entry controls,"PE-2, PE-3, PE-4, PE-5",
A.11.1.3,"Securing offices, rooms and facilities","PE-3, PE-5",
A.11.1.4,Protecting against external and environmental threats,"CP-6, CP-7, PE-9, PE-13, PE-14, PE-15, PE-18, PE- 19",
A.11.1.5,Working in secure areas,SC-42(3)*,
A.11.1.6,Delivery and loading areas,PE-16,
A.11.2,Equipment,,
